x                        chebyshev                chebyshev-jackson       
-7.49749749749749728e-01 -1.89631009108657267e-02 +5.53691954640833650e-04
-7.47747747747747771e-01 -2.16011567249931868e-02 +5.56960285002294775e-04
-7.45745745745745703e-01 -2.37509039579082426e-02 +5.59003409181080269e-04
-7.43743743743743746e-01 -2.53597823913064846e-02 +5.60051924742177576e-04
-7.41741741741741789e-01 -2.63878747420676074e-02 +5.60388143979795306e-04
-7.39739739739739721e-01 -2.68086961913376887e-02 +5.60343259882356559e-04
-7.37737737737737764e-01 -2.66096720258449104e-02 +5.60293359819996617e-04
-7.35735735735735696e-01 -2.57923000560892346e-02 +5.60654319074094243e-04
-7.33733733733733740e-01 -2.43720013298056037e-02 +5.61875628060592991e-04
-7.31731731731731783e-01 -2.23776691890325008e-02 +5.64433228401661768e-04
-7.29729729729729715e-01 -1.98509328044936817e-02 +5.68821453540035993e-04
-7.27727727727727758e-01 -1.68451568562156817e-02 +5.75544189032994868e-04
-7.25725725725725690e-01 -1.34242039249629630e-02 +5.85105385722206606e-04
-7.23723723723723733e-01 -9.66099034304057636e-03 +5.97999075348909503e-04
-7.21721721721721776e-01 -5.63586967062795763e-03 +6.14699052617129205e-04
-7.19719719719719708e-01 -1.43488057827462212e-03 +6.35648399994970248e-04
-7.17717717717717640e-01 +2.85210229198640253e-03 +6.61249041444156305e-04
-7.15715715715715683e-01 +7.13327494773668969e-03 +6.91851518666963816e-04
-7.13713713713713727e-01 +1.13168284552170872e-02 +7.27745188193795745e-04
-7.11711711711711770e-01 +1.53128520701240056e-02 +7.69149039630157016e-04
-7.09709709709709702e-01 +1.90351773931116131e-02 +8.16203334587040086e-04
-7.07707707707707634e-01 +2.24031279089939583e-02 +8.68962262206396385e-04
-7.05705705705705677e-01 +2.53431409468373725e-02 +9.27387800803536333e-04
-7.03703703703703720e-01 +2.77902323250399652e-02 +9.91344966020268892e-04
-7.01701701701701763e-01 +2.96892776406074699e-02 +1.06059861412899359e-03
-6.99699699699699695e-01 +3.09960882395619031e-02 +1.13481195485981567e-03
-6.97697697697697627e-01 +3.16782642767144962e-02 +1.21354691151370764e-03
-6.95695695695695671e-01 +3.17158118473357398e-02 +1.29626644735109098e-03
-6.93693693693693714e-01 +3.11015158600495556e-02 +1.38233895652939420e-03
-6.91691691691691757e-01 +2.98410650307616154e-02 +1.47104479543869182e-03
-6.89689689689689689e-01 +2.79529300260312197e-02 +1.56158500641051523e-03
-6.87687687687687621e-01 +2.54680002899074220e-02 +1.65309226072635207e-03
-6.85685685685685664e-01 +2.24289893756109415e-02 +1.74464402191787382e-03
-6.83683683683683707e-01 +1.88896226039992898e-02 +1.83527790382242983e-03
-6.81681681681681750e-01 +1.49136245236459741e-02 +1.92400917104984526e-03
-6.79679679679679682e-01 +1.05735269001124843e-02 +2.00985030272088361e-03
-6.77677677677677615e-01 +5.94932077093274225e-03 +2.09183251387107250e-03
-6.75675675675675658e-01 +1.12697843358167127e-03 +2.16902910307553709e-03
-6.73673673673673701e-01 -3.80312693875967112e-03 +2.24058046991415516e-03
-6.71671671671671744e-01 -8.74787505011698219e-03 +2.30572062218187268e-03
-6.69669669669669676e-01 -1.36130958162437032e-02 +2.36380497047250504e-03
-6.67667667667667608e-01 -1.83052802326992281e-02 +2.41433918722672169e-03
-6.65665665665665651e-01 -2.27332749788636823e-02 +2.45700888872701917e-03
-6.63663663663663694e-01 -2.68099317029346085e-02 +2.49170988207814137e-03
-6.61661661661661737e-01 -3.04536831413588782e-02 +2.51857870510052706e-03
-6.59659659659659670e-01 -3.35900198671537087e-02 +2.53802317546403255e-03
-6.57657657657657602e-01 -3.61528434961832512e-02 +2.55075265641063753e-03
-6.55655655655655645e-01 -3.80856745647836226e-02 +2.55780774018782298e-03
-6.53653653653653688e-01 -3.93426959781372765e-02 +2.56058904689443478e-03
-6.51651651651651731e-01 -3.98896158653574973e-02 +2.56088483589678173e-03
-6.49649649649649663e-01 -3.97043368109754047e-02 +2.56089712930335223e-03
-6.47647647647647595e-01 -3.87774217087542561e-02 +2.56326605220441595e-03
-6.45645645645645638e-01 -3.71123498473730495e-02 +2.57109210242634223e-03
-6.43643643643643681e-01 -3.47255602339505143e-02 +2.58795607338052625e-03
-6.41641641641641725e-01 -3.16462825371980894e-02 +2.61793636708523847e-03
-6.39639639639639657e-01 -2.79161593359485427e-02 +2.66562345051107874e-03
-6.37637637637637589e-01 -2.35886665422805897e-02 +2.73613122688631805e-03
-6.35635635635635632e-01 -1.87283418862735918e-02 +2.83510511435536294e-03
-6.33633633633633675e-01 -1.34098341602793547e-02 +2.96872664720265744e-03
-6.31631631631631607e-01 -7.71678848759804747e-03 +3.14371443955779872e-03
-6.29629629629629650e-01 -1.74058517146313818e-03 +3.36732137785611396e-03
-6.27627627627627582e-01 +4.42104833177769940e-03 +3.64732793610217376e-03
-6.25625625625625625e-01 +1.06655311082017867e-02 +3.99203153695648627e-03
-6.23623623623623669e-01 +1.68870056214693864e-02 +4.41023191154588101e-03
-6.21621621621621601e-01 +2.29779741885136612e-02 +4.91121244146913716e-03
-6.19619619619619644e-01 +2.88309709842607953e-02 +5.50471749742970085e-03
-6.17617617617617576e-01 +3.43402452091796651e-02 +6.20092582004927451e-03
-6.15615615615615619e-01 +3.94034311515533697e-02 +7.01042001939500281e-03
-6.13613613613613662e-01 +4.39231813174640884e-02 +7.94415230037459619e-03
-6.11611611611611594e-01 +4.78087395711876417e-02 +9.01340655111804168e-03
-6.09609609609609637e-01 +5.09774323084737357e-02 +1.02297569605557248e-02
-6.07607607607607569e-01 +5.33560570526663280e-02 +1.16050233593698593e-02
-6.05605605605605612e-01 +5.48821494930625819e-02 +1.31512235051088888e-02
-6.03603603603603656e-01 +5.55051118477641325e-02 +1.48805225573149791e-02
-6.01601601601601588e-01 +5.51871874984876110e-02 +1.68051800118057537e-02
-5.99599599599599631e-01 +5.39042690795579760e-02 +1.89374943846045696e-02
-5.97597597597597563e-01 +5.16465295732985163e-02 +2.12897459552694457e-02
