problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk24.mtx          3562 LU    9  7.6    0.2    0.3  512    1.6    3.2
bcsstk24.mtx          3562 LU    9  7.6    0.2    0.3 1024    3.2    6.5
bcsstk24.mtx          3562 LU    9  7.6    0.2    0.3 2048    6.6   12.9
bcsstk24.mtx          3562 DS   20 17.2    0.6    1.2  256    0.4    0.8
bcsstk24.mtx          3562 DS   20 17.2    0.6    1.2  512    0.6    1.2
bcsstk24.mtx          3562 DS   20 17.2    0.6    1.2 1024    1.3    2.2
bcsstk24.mtx          3562 DS   20 17.2    0.6    1.2 2048    1.8    3.6
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk25.mtx         15439 LL   36 19.2    0.7    0.7  256    2.5    4.8
bcsstk25.mtx         15439 LL   36 19.2    0.7    0.7  512    5.3   10.4
bcsstk25.mtx         15439 LL   36 19.2    0.7    0.7 1024   11.1   21.8
bcsstk25.mtx         15439 LL   36 19.2    0.7    0.7 2048   23.2   44.9
bcsstk25.mtx         15439 LU   47 24.5    1.0    1.1  256    3.4    6.7
bcsstk25.mtx         15439 LU   47 24.5    1.0    1.1  512    7.2   14.1
bcsstk25.mtx         15439 LU   47 24.5    1.0    1.1 1024   14.8   29.1
bcsstk25.mtx         15439 LU   47 24.5    1.0    1.1 2048   30.5   59.3
bcsstk25.mtx         15439 DS   76 39.7    8.9   16.0  256    7.7   15.3
bcsstk25.mtx         15439 DS   76 39.7    8.9   16.0  512    8.8   17.4
bcsstk25.mtx         15439 DS   76 39.7    8.9   16.0 1024   11.1   21.9
bcsstk25.mtx         15439 DS   76 39.7    8.9   16.0 2048   15.9   31.2
problem n solver mem(MB) fill-in t-setup c-setup n_rhs t-solve c-solve
bcsstk26.mtx          1922 LL    1  4.8    0.0    0.0  256    0.1    0.2
bcsstk26.mtx          1922 LL    1  4.8    0.0    0.0  512    0.2    0.4
bcsstk26.mtx          1922 LL    1  4.8    0.0    0.0 1024    0.5    1.0
bcsstk26.mtx          1922 LL    1  4.8    0.0    0.0 2048    1.1    2.2
bcsstk26.mtx          1922 LU    1  7.3    0.0    0.0  256    0.1    0.3
